Date,Actualized Sales,Total IMP,Total Clicks,Total Sales,Total Device Sales,Total SIM Sales,Total Cost,Gross Adds,Total.CPS,Total.CPGA,SEM IMP,SEM Clicks,SEM Device Sales,SEM SIM Sales,SEM Cost,SEM.Gross Adds,SEM.CPS,SEM.CPGA,CPA IMP,CPA Clicks,CPA Device Sales,CPA SIM Sales,CPA Total Sales,CPA.Gross Adds,CPA.CPS,CPA.CPGA,Mid-Funnel Display IMP,Mid-Funnel Display Clicks,Mid-Funnel SEM IMP,Mid-Funnel SEM Clicks,Mid-Funnel Device Sales,Mid-Funnel SIM Sales,Mid-Funnel Cost,Mid.Gross Adds,Mid.CPS,Mid.CPGA
1/1/2014,2074,42959755,84316,2173,1280,893,107267,1980.11,49.36355269,54.17224296,460216,47007,142,106,12261,225.7,49.43951613,54.32432432,6705681,17628,793,493,63373,1174.33,49.27916019,53.96523975,35615006,18656,178852,1025,345,294,31633,580.08,49.50391236,54.5321335
1/2/2014,2482,38850141,91535,2637,1382,1255,130311,2390.93,49.41638225,54.50222298,529948,55930,135,104,11794,217.38,49.34728033,54.25522127,7663758,19423,800,739,76001,1394.93,49.38336582,54.48373754,30451424,15138,205011,1044,447,412,42516,778.62,49.49476135,54.60429992
1/3/2014,2781,38000550,108171,2982,1787,1195,147492,2719.43,49.46076459,54.23636571,554183,77099,226,130,17611,325.54,49.46910112,54.09780672,6552522,17106,1002,728,85541,1575.24,49.44566474,54.30347122,30690492,12926,203353,1040,559,337,44340,818.65,49.48660714,54.16234044
1/4/2014,2099,34945824,81808,2209,1269,940,108830,2010.66,49.26663649,54.12650572,481669,55835,167,107,13529,250.07,49.37591241,54.10085176,5437542,13683,709,549,61925,1144.09,49.22496025,54.12598659,28848298,11320,178315,970,393,284,33376,616.5,49.29985229,54.1378751
1/5/2014,1953,35010683,77935,2086,1201,885,102936,1898.89,49.34611697,54.20851129,449308,50896,154,104,12666,235.24,49.09302326,53.84288386,5872303,14231,692,542,60927,1122.02,49.37358185,54.3011711,28520147,11838,168925,970,355,239,29343,541.63,49.3989899,54.17535956
1/6/2014,2243,38861143,80058,2390,1299,1091,117981,2170.23,49.36443515,54.36336241,470163,52888,170,105,13541,251.15,49.24,53.91598646,5883283,14105,731,641,67685,1244.81,49.33309038,54.37375985,32317288,11976,190409,1089,398,345,36755,674.27,49.46837147,54.51080428
1/7/2014,2128,34080747,63922,2274,1258,1016,112321,2066.44,49.3935796,54.35483247,428675,38435,130,71,9905,183.97,49.27860697,53.84030005,5747450,13654,755,586,66225,1219.52,49.38478747,54.30415245,27721824,10797,182798,1036,373,359,36191,662.95,49.44125683,54.59084396
1/8/2014,2245,30904351,81073,2296,1327,969,113303,2090.41,49.34799652,54.20132893,494718,56756,131,74,10079,187.52,49.16585366,53.74893345,5409085,12180,773,561,65729,1214.69,49.27211394,54.11174868,24791037,10467,209511,1670,423,334,37495,688.2,49.53104359,54.48270851
1/9/2014,2006,34228501,72020,2143,1192,951,105835,1947.85,49.38637424,54.33426599,488064,48409,120,72,9471,175.44,49.328125,53.98426813,5244010,12022,675,552,60524,1114.74,49.32681337,54.2942749,28298576,10259,197851,1330,397,327,35840,657.67,49.50276243,54.49541563
1/10/2014,2186,26529999,70487,2413,1298,1115,119257,2190.17,49.42271032,54.45102435,479277,48337,132,75,10222,189.33,49.38164251,53.99038715,4645861,12317,752,700,71670,1315.88,49.35950413,54.46545278,21149002,8405,255859,1428,414,340,37365,684.96,49.55570292,54.55063069
1/11/2014,1707,23113354,64193,1836,1043,793,90558,1670.33,49.32352941,54.21563404,463400,44470,293,149,21753,405.05,49.21493213,53.70448093,3949557,10653,419,358,38335,705.32,49.33719434,54.35121647,18437279,7445,263118,1625,331,286,30470,559.96,49.38411669,54.41460104
1/12/2014,1639,23275566,61205,1747,1009,738,86185,1590.52,49.33314253,54.18668109,436739,42301,294,142,21441,399.9,49.1766055,53.61590398,3854576,9733,393,337,35997,662.61,49.3109589,54.32607416,18692970,7673,291281,1498,322,259,28747,528.01,49.47848537,54.44404462
1/13/2014,1945,25831667,66352,2093,1077,1016,103490,1896.3,49.44577162,54.5746981,462897,46771,300,195,24393,451.65,49.27878788,54.008635,4266425,9931,432,465,44331,810.63,49.42140468,54.68709522,20794082,8023,308263,1627,345,356,34766,634.02,49.59486448,54.83423236
1/14/2014,1899,26633259,67212,2026,1138,888,99783,1842.28,49.25123396,54.16277656,468837,46681,343,156,24469,458.14,49.03607214,53.40943816,4235580,10913,426,420,41691,765.84,49.28014184,54.43826387,21512813,7972,416029,1646,369,312,33623,618.3,49.37298091,54.37975093
1/15/2014,2047,26222379,64628,2209,1257,952,108983,2009.82,49.3358986,54.225254,471266,44558,365,171,26372,491.87,49.20149254,53.61579279,4289613,10271,428,415,41538,763.37,49.27402135,54.41398011,21007780,8142,453720,1657,464,366,41073,754.58,49.48554217,54.43160434
1/16/2014,2076,26490651,64394,2224,1253,971,109723,2022.59,49.33588129,54.24876025,477833,44361,343,218,27673,512.08,49.32798574,54.04038431,4221508,9891,485,414,44238,816.08,49.2080089,54.20792079,21374650,8415,416660,1727,425,339,37812,694.43,49.4921466,54.45041257
1/17/2014,1955,23858783,57921,2247,1230,1017,111000,2040.99,49.39919893,54.3853718,461627,40208,332,168,24702,458.24,49.404,53.90625,3490958,8503,465,554,50290,919.08,49.35230618,54.71776124,19464813,7530,441385,1680,433,295,36008,663.67,49.46153846,54.25588018
1/18/2014,1700,21991009,52911,1845,1049,796,90941,1678.58,49.29051491,54.17734037,439751,36530,354,193,26929,500.67,49.23034735,53.78592686,3126204,8041,374,291,32729,604.73,49.21654135,54.12167414,17953451,6637,471603,1703,321,312,31283,573.18,49.42022117,54.57796853
1/19/2014,1452,22337987,51332,1566,922,644,77274,1426.96,49.34482759,54.15288445,432152,34529,255,144,19684,364.98,49.33333333,53.93172229,3132098,7797,335,262,29421,542.84,49.28140704,54.19829047,18261727,7281,512010,1725,332,238,28169,519.14,49.41929825,54.26089302
1/20/2014,1779,24505208,55628,1904,1072,832,93847,1731.52,49.28939076,54.1992007,450014,37227,293,174,23019,426.8,49.29122056,53.9339269,3664155,8750,377,332,34927,643.22,49.26234133,54.30023942,19877292,7885,513747,1766,402,326,35901,661.5,49.31456044,54.27210884
1/21/2014,1636,28293415,74577,1727,972,755,84932,1570.53,49.17892299,54.07855947,499553,51965,115,99,10551,194.23,49.30373832,54.32219534,4342054,10281,521,381,44214,821.21,49.01773836,53.84006527,22989318,10579,462490,1752,336,275,30167,555.09,49.37315876,54.34614207
1/22/2014,1777,28588840,65005,1932,1085,847,95084,1756.79,49.21532091,54.12371427,465885,40626,133,85,10725,198.97,49.19724771,53.90259838,4986160,11448,551,458,49576,916.4,49.13379584,54.09864688,22685702,11179,451093,1752,401,304,34783,641.42,49.33758865,54.22811886
1/23/2014,2756,32757915,67687,2925,2113,812,144826,2692.66,49.51316239,53.78547607,504794,41114,209,73,13943,259.97,49.44326241,53.63311151,5001364,12242,1178,456,80849,1504.04,49.47919217,53.7545544,26814804,12568,436953,1763,726,283,50034,928.65,49.5877106,53.87821031
1/24/2014,2344,31351946,68795,2495,1736,759,123207,2292.17,49.38156313,53.75124882,497772,41304,135,81,10660,197.37,49.35185185,54.01023458,5249870,12261,993,361,66783,1247.49,49.32274742,53.53389606,25191926,13494,412378,1736,608,317,45764,847.31,49.47459459,54.0109287
1/25/2014,1516,28357094,64757,1615,980,635,79506,1473.65,49.22972136,53.95175245,502310,38455,120,66,9156,170.22,49.22580645,53.78921396,5194760,12927,491,310,39326,731.24,49.09612984,53.77988075,22227601,11707,432423,1668,369,259,31024,572.19,49.40127389,54.21975218
1/26/2014,1459,28449663,61820,1555,974,581,76614,1421.03,49.26945338,53.91441419,491535,36302,101,62,8048,148.88,49.37423313,54.05695862,5152140,12435,492,265,37240,693.03,49.19418758,53.73504754,22338359,11362,467629,1721,381,254,31326,579.12,49.33228346,54.09241608
1/27/2014,2433,33541754,72536,2575,1766,809,127368,2363.87,49.46330097,53.8811356,500553,43331,173,98,13437,247.88,49.58302583,54.20768114,6464733,14092,1053,417,72617,1352.61,49.39931973,53.68657632,26063841,13336,512627,1777,540,294,41314,763.38,49.53717026,54.11983547
