Freq,Success,Trials,Group
1,115693,195728608,Roku
1,270900,1691270667,TF
2,60105,64669840,Roku
2,185090,492294876,TF
3,29288,34948572,Roku
3,119744,329414751,TF
4,21287,26924688,Roku
4,90498,261627880,TF
5,12428,18032940,Roku
5,62878,206159185,TF
6,10716,14992812,Roku
6,51916,180760428,TF
7,6865,11415446,Roku
7,38659,146174847,TF
8,6078,9958912,Roku
8,32890,131011008,TF
9,4377,8060913,Roku
9,26047,114761484,TF
10,3917,7167670,Roku
10,22570,105066150,TF
11,2782,5962814,Roku
11,18298,91660899,TF
12,2812,5467236,Roku
12,16841,85992852,TF
13,1942,4651842,Roku
13,13778,76341187,TF
14,1852,4333392,Roku
14,12570,71733578,TF
15,1477,3772275,Roku
15,10903,65717640,TF
16,1383,3506960,Roku
16,9992,62104832,TF
17,1087,3112632,Roku
17,8598,56891452,TF
18,1105,2934684,Roku
18,8232,54323784,TF
19,794,2600359,Roku
19,7361,50497706,TF
20,846,2470620,Roku
20,6743,48978280,TF
21,691,2214408,Roku
21,6004,45266445,TF
22,714,2098426,Roku
22,5651,43245466,TF
23,506,1901870,Roku
23,5224,40403732,TF
24,548,1814760,Roku
24,4879,39006336,TF
25,444,1665150,Roku
25,4249,36647200,TF
26,437,1596582,Roku
26,4189,35332388,TF
27,384,1463913,Roku
27,3779,33415011,TF
28,377,1406608,Roku
28,3649,32279324,TF
29,307,1307233,Roku
29,3269,30651753,TF
30,337,1262910,Roku
30,3085,29839020,TF
31,261,1167398,Roku
31,2888,28285423,TF
32,286,1130016,Roku
32,2822,27401120,TF
33,212,1058046,Roku
33,2655,26183916,TF
34,204,1019014,Roku
34,2499,25462056,TF
35,179,970760,Roku
35,2276,24337530,TF
36,205,936576,Roku
36,2323,23847948,TF
37,119,866429,Roku
37,2124,22751041,TF
38,151,844512,Roku
38,2087,22254776,TF
39,153,793572,Roku
39,1987,21413418,TF
40,171,780840,Roku
40,1915,20979760,TF
41,110,739394,Roku
41,1768,20183603,TF
42,126,726684,Roku
42,1746,19709298,TF
43,101,679400,Roku
43,1587,19001743,TF
44,143,675136,Roku
44,1556,18610064,TF
45,103,622080,Roku
45,1501,17953740,TF
46,93,625968,Roku
46,1451,17556728,TF
47,88,586889,Roku
47,1342,16929776,TF
48,97,583440,Roku
48,1333,16675248,TF
49,79,538020,Roku
49,1315,16041914,TF
50,66,532500,Roku
50,1214,15761800,TF
51,89,510102,Roku
51,1230,15211311,TF
52,73,501176,Roku
52,1177,15005432,TF
53,56,481611,Roku
53,1049,14555549,TF
54,80,464724,Roku
54,1071,14262804,TF
55,59,442090,Roku
55,949,13840750,TF
56,62,436520,Roku
56,960,13622504,TF
57,49,414960,Roku
57,960,13320273,TF
58,44,407276,Roku
58,928,13078536,TF
59,38,386155,Roku
59,886,12729545,TF
60,59,389100,Roku
60,930,12549120,TF
61,56,368745,Roku
61,851,12185055,TF
62,56,366544,Roku
62,838,12030232,TF
63,34,347319,Roku
63,786,11669112,TF
64,37,344384,Roku
64,750,11541120,TF
65,39,328835,Roku
65,706,11275160,TF
66,35,326370,Roku
66,733,11130372,TF
67,34,309071,Roku
67,687,10773935,TF
68,29,302872,Roku
68,690,10730876,TF
